Title,Artist,ArtistID,Classification,Department,DateAcquired,Value,ObjectID
"Ferdinandsbrücke Project, Vienna, Austria (Elevation, preliminary version)",Otto Wagner,6210,Architecture,Architecture & Design,4/9/1996,9.64E+52,2
"City of Music, National Superior Conservatory of Music and Dance, Paris, France, View from interior courtyard",Christian de Portzamparc,7470,Architecture,Architecture & Design,1/17/1995,1.20E+06,3
"Villa near Vienna Project, Outside Vienna, Austria, Elevation",Emil Hoppe,7605,Architecture,Architecture & Design,1/15/1997,1.00E+76,4
"The Manhattan Transcripts Project, New York, New York, Introductory panel to Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,1.61E+48,5
"Villa, project, outside Vienna, Austria, Exterior perspective",Emil Hoppe,7605,Architecture,Architecture & Design,1/15/1997,7.02E+20,6
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,2.90E+13,7
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,2.21E+80,8
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,5.26E+54,9
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,1.74E+18,10
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,1.29E+19,11
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,1.06E+56,12
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,5.40E+44,13
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,1.55E+25,14
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,1.89E+64,15
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,4.05E+78,16
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,4.80E+51,17
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,4.87E+84,18
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,2.58E+20,19
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,1.19E+49,20
"The Manhattan Transcripts Project, New York, New York , Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,1.29E+19,21
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,4.26E+58,22
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,1.14E+26,23
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,1.22E+39,24
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,2.62E+53,25
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,5.32E+11,26
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,7.61E+66,27
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,6.94E+63,28
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,2.95E+46,29
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,1.17E+16,30
"The Manhattan Transcripts Project, New York, New York, Episode 1: The Park",Bernard Tschumi,7056,Architecture,Architecture & Design,1/17/1995,4.61E+28,31
